interval_begin;interval_end;interval_id;edge_arrived;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_left;edge_sampledSeconds
0.00;100.00;reporte_densidad_final;0;0;0;1227928325;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1348019583;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1410013844#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1410013844#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1410013845;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1414925032#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1414925032#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1414925033;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;8;172344969#0;4;4;7;32.38
0.00;100.00;reporte_densidad_final;0;0;7;172344969#1;0;0;7;35.32
0.00;100.00;reporte_densidad_final;0;0;2;172344969#10;0;0;1;21.21
0.00;100.00;reporte_densidad_final;0;0;1;172344969#11;0;0;0;12.31
0.00;100.00;reporte_densidad_final;0;0;8;172344969#4;2;2;5;182.45
0.00;100.00;reporte_densidad_final;0;0;5;172344969#5;0;0;5;4.17
0.00;100.00;reporte_densidad_final;0;0;5;172344969#6;0;0;5;3.37
0.00;100.00;reporte_densidad_final;0;0;4;172344969#9;0;0;2;21.73
0.00;100.00;reporte_densidad_final;0;0;0;172641720#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;172641720#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;172642222;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;172680169#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;172680883;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;172680884;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;7;172682268#1;0;0;6;63.60
0.00;100.00;reporte_densidad_final;0;0;6;172682268#2;0;0;6;24.11
0.00;100.00;reporte_densidad_final;0;0;0;172682274;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;223358280;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;223358287#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;223358287#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;223358287#2;0;0;0;0.00
